STT,Nhãn hàng ,Từ khóa,Câu hỏi,Trả lời
1,EKSEPTION,Chung,Mẹ bầu sử dụng được sản phẩm nào của Ekseption?,"Ngoài Kem chống nắng All days shield và dung dịch peel, mẹ bầu có thể sử dụng các dòng sản phẩm serum mixlab và kem dưỡng của Ekseption."
2,EKSEPTION,Chung,"Sản phẩm hỗ trợ giảm thâm mụn, đều màu da","1. B5 : Giảm thâm đỏ dùng được cho mọi loại da
2. Niacin: giảm thâm đỏ, thâm sau mụn dành cho da yếu ít mụn
3.TRX: Giảm thâm đỏ, thâm sau mụn, thâm nám dành cho da đã khỏi mụn, da lão hóa, có thể dùng giảm thâm cho da mụn khi kết hợp với ZnPCA"
3,EKSEPTION,Chung,Sản phẩm nào có thể sử dụng sau nặn mụn?,"B5/ ZnPCA/ peptides dùng được ngay sau nặn mụn nhờ khả năng kháng viêm giảm viêm, phục hồi da giúp da nhanh lành thương."
4,EKSEPTION,Chung,Sản phẩm dùng được sau peel,"Dùng phục hồi ngay sau peel: B5, Peptides 
Dùng phục hồi và điều trị chuyên sâu (cách 3-5 ngày sau peel):
- Gôm cồi mụn, thông thoáng lỗ chân lông, kiểm soát dầu: ZnPCA
- Niacin: lỗ chân lông, thâm mụn, phục hồi da sau mụn, đều màu da dành cho da mụn yếu
- TRX: Cải thiện thâm nám, thâm mụn, chống lão hóa, đều màu da
Lưu ý: khuyến khích duy trì B5, peptides đông thời với các serum đặc trị sau peel tăng hiệu quả phục hồi da"
5,EKSEPTION,"Chung, Mụn",Muốn điều trị mụn dùng sản phẩm nào?,"Mụn viêm: ZnPCA (có thể dùng kèm B5 để da tăng khả năng phục hồi giảm viêm hơn)
Mụn ẩn (không sưng viêm) >> cần tìm được nguyên nhân gây mụn như: lạm dùng quá nhiều sản phẩm kiềm dầu, bước làm sạch không hiệu quả, da bít tắt lỗ chân lông, da quá nhiều dầu thừa : Có thể tham khảo peel Retin-oil để đẩy mụn lên trên bề mặt da, mụn sẽ khô cồi và tự rụng, căn bằng lại độ ẩm cho da bằng B5 hoặc ZnPCA tùy theo như cầu da"
6,EKSEPTION,"Chung, Mụn, Thâm",Mụn còn ít muốn kết hợp trị thâm dùng chu trình nào?,"Mụn ít, còn mụn viêm da yếu: ZnPCA + Niacin
Mụn ít (mụn ẩn, thâm đỏ) da khỏe hơn: ZnPCA + TRX
Da chỉ còn thâm mụn, mụn ẩn li ti, không có mụn sưng viêm : ZnPCA + TRX + kết hợp peel Retin-oil định kỳ để tăng hiệu quả giảm thâm, gôm cồi mụn."
7,EKSEPTION,KCN,Da dầu dùng được Kem chống nắng All day shield không?,"Sản phẩm phù hợp cho mọi loại da, tuy nhiên trải nghiệm trên nền da thường đến da khô sẽ tốt hơn so với da dầu vvì sẩn phẩm có kết hợp dưỡng ẩm, không kiềm dầu"
8,EKSEPTION,KCN,Kem chống nắng có nâng tone và sillicon không?,"Kem chống nắng không có sillicon/ ko nâng tone, giúp da có hiệu ứng căng bóng sáng khỏe sau khi thoa"
9,EKSEPTION,Peel,"Peel có bị bong da không?
Peel không bong da có hiệu quả không?","Peel Ekseption không gây bong tróc nhưng vẫn đảm bảo hiệu quả điều trị nhờ vào công thức kết hợp độc đáo giữa bộ ba hoạt chất Acid - Peptides - Hyaluronic Acid cùng với công nghệ DMKS có trong sản phẩm điều trị.
Công nghệ DMKS sẽ làm chậm tốc độ phân cực của acid nhưng vẫn giữ nguyên nồng độ proton cùng kết hợp với hoạt chất. Qua đó giúp giảm sức căng bề mặt, acid vẫn được dẫn truyền đến khu vực cần được điều trị nhưng không gây ra các tác dụng không mong muốn như nóng rát hay bong tróc mạnh mà vẫn duy trì được hiệu quả điều trị. Peel thì da nhạy cảm hoặc khô mới bong da nha, nếu cấp ẩm đủ thì hầu như không bong, da sẽ bong kiểm vảy da rất mịn, không bong mảng lớn"
10,EKSEPTION,Peel,1 lọ peel 5ml sử dụng được bao nhiêu lần,"3 - 5 lần (tùy lượng dung dịch mỗi lần peel 1 - 1,5ml)"
11,EKSEPTION,Peel,Cần duy trì peel bao lâu để có hiệu quả?,"Mức độ hiệu quả phụ thuộc vào tình trạng da, cơ địa da, khả năng phục hồi của da, cách chăm sóc da sau peel và chế độ sinh hoạt nghỉ ngơi hằng ngày. Liệu trình peel cần duy trì liên tục mỗi 10-14 ngày trong 3 tháng, sau đó tiếp tục duy trì 1 lần/tháng kéo dài trong 9 tháng tiếp theo. Thực hiện liệu trình peel cũng cần duy trì đều đặn tương tự như sản phẩm bôi thoa giúp đáp ứng nhu cầu da và duy trì hiệu quả mang lại."
12,EKSEPTION,"ZnPCA, B5",Sử dụng kết hợp serum ZnPCA (Kẽm) và Serum B5 như thế nào,"Sử dụng theo thứ tự loãng trước đặc sau.
Serum ZnPCA hầu như loãng hơn các loại serum hiện có trên thị trường. "
13,EKSEPTION,"ZnPCA, B5","Dùng ZnPCA, B5 da có tình trạng châm chít","Một số cơ địa da mới dùng ZnPCA, B5 có tình trạng châm chít vài phút, sau một thời gian sử dụng tình trạng này sẽ giảm dần và mất hẵn. Đaay là phản ứng bình thường của da với hoạt chất, không phải dấu hiệu kích ứng."
14,EKSEPTION,"ZnPCA, B5",Da khô muốn dùng Kẽm được không?,"Đối với da không bị tình trạng dầu thừa nhưng cần dùng kẽm trị mụn nên kết hợp thêm serum B5 Ekseption (hỗ trợ tốt nhất) hoặc sản phẩm có khả năng câp ẩm cấp nước có kết cấu mỏng nhẹ dễ thẩm thấu vào da, không bít tắt lỗ chân lông để đảm bảo da không bị mất cân bằng độ ẩm gây kích ứng."
